,main_fragments
sample_1,*OC1CC2C(=C)C(=O)C3(C(O*)CC4C5(C)CCCC4(C(*)OC5)C13)C2O*
sample_2,*c1oc2ccccc2c1*
sample_3,*c1cnc(*)c(Cl)n1
sample_4,*c1nnc(Br)c(*)n1
sample_5,*C(*)C(*)O
sample_6,*OC1CCC2(C)C(C=CC3C2CC(O*)C2(C)C(*)CCC32)C1
sample_7,*Nc1cccc(N=[N+]([O-])c2cccc(N*)c2)c1
sample_8,*C(*)C(=NNc1ccccc1)c1ccccc1
sample_9,*OC1CCC2(C)C3CCC4(C)C(*)CCC4C3CC(O*)C2(O)C1
sample_10,*C1(*)CC=CCC(*)(*)CC=CC1
sample_11,*Nc1nc(Cl)nc(N(*)*)n1
sample_12,*Nc1ccccc1N*
sample_13,*CC1OC(*)C(O)C(O)C1O
sample_14,*C(=O)CCC(*)O
sample_15,*c1nccc2cc(*)c(O)cc12
sample_16,*C1Cc2c3c(c4c(c2CC1*)CC(*)C(*)C4)CC(*)C(*)C3
sample_17,*C(*)C
sample_18,*Nc1nc2ccc(*)cc2[nH]1
sample_19,*C(=O)C(*)(*)C(C)C*
sample_20,*N1CCN(*)CC1
sample_21,*C(*)c1cc(*)c(*)cc1[N+](=O)[O-]
sample_22,*CCC(*)*
sample_23,*C1CCCN2C(=O)CC(*)C(=O)N12
sample_24,*n1cc(*)cn1
sample_25,*c1cn(C)cc(*)c1=O
sample_26,*c1cc2c(cc1*)C(CC(C)C)NCC2
sample_27,*CC(*)C(=O)O
sample_28,*C(*)C(Cl)(Cl)Cl
sample_29,*Nc1ccc(C#Cc2ccc(N*)cc2)cc1
sample_30,*C1OC(*)C(O)C(O)C1O
sample_31,*Nc1cc(Cl)c(S(N)(=O)=O)cc1*
sample_32,*Cc1ccc2cc3ccc(C*)nc3cc2n1
sample_33,*c1cc2c(c(O)c1*)CNCC2
sample_34,*C(Br)C(Br)CCC(Br)C(*)Br
sample_35,*CS*
sample_36,*N(*)CCCC
sample_37,*N(C*)C*
sample_38,*Oc1ccc2[nH]c3cnc(*)c(C*)c3c2c1
sample_39,*C(*)c1cc(C)cc([N+](=O)[O-])c1O
sample_40,*c1ccc(C(=S)N2CCOCC2)cc1*
sample_41,*N1C(=O)C(*)C(=O)N1*
sample_42,*Oc1cc2c(cc1*)CCN(O*)C2CC(C)C
sample_43,*OC1CC2C(=C)C(=O)C3(C(*)CC4C5(C)CCCC4(COC5)C13)C2O
sample_44,*N1c2ccccc2CCC1*
sample_45,*N(*)CC*
sample_46,*OC1Oc2ccc(C)cc2C(=O)C1=CN*
sample_47,*NC(=Nc1ccc(S*)cc1N*)N*
sample_48,*C(=O)CC(C(*)=O)C(C)=O
sample_49,*n1nc(*)c2c(C)cc(C)nc21
sample_50,*C(*)c1cccnc1
sample_51,*C(Cl)C(*)Cl
sample_52,*C1CCc2cc(*)ccc2C1=O
