,SMILES,logS
sample_1,CC(N)=O,1.58
sample_2,CNN,1.34
sample_3,CC(=O)O,1.22
sample_4,C1CCNC1,1.15
sample_5,NC(=O)NO,1.12
sample_6,OCC(O)CO,1.12
sample_7,CC(=O)N(C)C,1.11
sample_8,c1ccnnc1,1.1
sample_9,c1cncnc1,1.1
sample_10,OCC(O)C(O)C(O)C(O)CO,1.09
sample_11,CC(N)CC(=O)O,1.08
sample_12,C1CNCCN1,1.07
sample_13,C1CCNCC1,1.07
sample_14,Oc1ccncc1,1.02
sample_15,Oc1ccccn1,1.02
sample_16,O=C(O)CCCC(=O)O,1
sample_17,CN1CCOCC1,1
sample_18,COC(N)=O,0.97
sample_19,Cn1ccccc1=O,0.96
sample_20,O=C(O)CCl,0.93
sample_21,CCOC(N)=O,0.85
sample_22,COC(=O)C1=CCCN(C)C1,0.81
sample_23,Oc1cccc(O)c1,0.81
sample_24,c1ccncc1,0.76
sample_25,CC1CNCCN1,0.74
sample_26,OCC1(O)OCC(O)C(O)C1O,0.64
sample_27,Oc1ccccc1O,0.62
sample_28,NC(=O)c1cccnc1,0.61
sample_29,O=c1ccnc[nH]1,0.59
sample_30,CCC=O,0.58
sample_31,COC=O,0.58
sample_32,C=CC=O,0.57
sample_33,C1CCOC1,0.56
sample_34,CCC(C)=O,0.52
sample_35,CC1CNC(C)CN1,0.49
sample_36,COCOC,0.48
sample_37,Cc1cccc(C)n1,0.45
sample_38,Cc1ccc(C)nc1,0.4
sample_39,OC1COC(O)C(O)C1O,0.39
sample_40,Cc1ccnc(C)c1,0.38
sample_41,Cc1cccnc1C,0.38
sample_42,O=c1cccc2n1CC1CNCC2C1,0.36
sample_43,OC1C(O)C(O)C(O)C(O)C1O,0.35
sample_44,CC=CC=O,0.32
sample_45,CCC(N)C(=O)O,0.31
sample_46,O=C1CCC(=O)N1,0.3
sample_47,CC(C)C(=O)O,0.28
sample_48,CN1CCCCC1,0.23
sample_49,CC(=O)CC(C)=O,0.22
