,property,raw material 1,raw material 2,raw material 3,temperature,time
sample_1,0.125,0.5,0.1,0.4,85,80
sample_2,0.122,0.7,0,0.3,55,50
sample_3,0.624,0,0.2,0.8,70,40
sample_4,0.042,0.9,0.1,0,60,90
sample_5,0.589,0.2,0,0.8,75,120
sample_6,0.051,0.7,0.1,0.2,90,60
sample_7,0.771,0.1,0,0.9,80,10
sample_8,0.775,0.1,0,0.9,90,90
sample_9,0.219,0.4,0.1,0.5,100,110
sample_10,0.12,0.5,0.2,0.3,60,40
sample_11,0.066,0.8,0.1,0.1,50,10
sample_12,0.037,0.8,0.1,0.1,65,40
sample_13,0.1,0.5,0.2,0.3,60,80
sample_14,0.161,0.5,0.4,0.1,90,40
sample_15,0.773,0,0.1,0.9,50,10
sample_16,0.087,0.5,0.3,0.2,55,50
sample_17,0.511,0,0.3,0.7,80,20
sample_18,0.079,1,0,0,70,60
sample_19,0.043,0.8,0.1,0.1,100,100
sample_20,0.49,0.3,0,0.7,60,10
