,sub_fragments
sample_1,*c1c(O)cccc1O
sample_2,*OC1CCC2(C)C(CCC3C4CCC(O)C4(C)CCC32)C1
sample_3,*C1(O)C(O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
sample_4,*c1cc(NN=C2C(=O)NN=C2C(F)(F)F)[nH]n1
sample_5,*C(=O)CCP(=O)([O-])[O-]
sample_6,*CC1=[N+](C)c2ccc3ccccc3c2C1(C)C
sample_7,*CC1=NCCN1
sample_8,*C1NC(=O)NC(C)=C1C(N)=O
sample_9,*C(=O)C(F)(F)F
sample_10,*C1(O)OCC(O)C(O)C1O
sample_11,*OC1CCC2(C)C(CCC3C2CCC2(C)C3CCC2(O)C#Cc2ccccc2)C1
sample_12,*c1nnc2n1N=C(C(C)C)CS2
sample_13,*C(C)(O)C(C)(C)C
sample_14,*c1cc(O)c2n(c1=O)C(C(=O)[O-])CC2
sample_15,*c1ccc([N+](=O)[O-])c(C)c1
sample_16,*c1csc(C(C#N)=NNc2cc(C)ccc2C)n1
sample_17,*C1CCC2C3C(O)C(O)C4CCCCC4(C)C3CCC12C
sample_18,*C1CCC2(C)C(CCC3C4CC=C(C#Cc5ccccc5)C4(C)CCC32)C1
sample_19,*C1C(=O)c2ccccc2C1C
sample_20,*N1N=C(C(F)(F)F)C(=NNc2cccc(F)c2)C1=O
sample_21,*c1ccccc1C#N
sample_22,*n1ncc2c(N)nc(O)nc21
sample_23,*c1nc(C)c(C)o1
sample_24,*c1cccc(Cl)c1Cl
sample_25,*Cn1ccnc1C
sample_26,*CCC(C)(C)C(=O)O
sample_27,*Cc1c2c([o+]c3c1CCCC3)CCCC2
sample_28,*C1CC(c2ccc3ccccc3c2)=NN1C(C)=O
sample_29,*CCC1=C(C(N)=O)CCCC1
sample_30,*n1c(=O)n2n(c1=O)C1C3CCC1C2O3
sample_31,*SC=CCl
sample_32,*n1c(C)cc2c(c1=O)C(c1ccccc1)C(C#N)=C(N)O2
sample_33,*c1c(Cl)ccc(Cl)c1Cl
sample_34,*c1nc(C)c(N=Nc2c(Br)cc(Br)cc2Br)s1
sample_35,*C1C=C(C)C=C(C)O1
sample_36,*C1C2=C(OC(=O)C1(C)C)C1(C)CCC3C(CC=C4CC(O)CCC43C)C1C2
sample_37,*c1cc(O)c(O)c(O)c1
sample_38,*c1ccc2c(=O)n3c(cc2c1)CCCC3
sample_39,*C1C(=O)C2CCC(C)(C1=O)C2(C)C
sample_40,*OCCCCCCC
sample_41,*Nc1ccccc1
sample_42,*C1CCC2C3C(O)CC4CC5(CCC4(C)C3CC(=O)C12C)OCCO5
sample_43,*OCCCCl
sample_44,*c1c(C#N)c(N)n(N)c(=O)c1C#N
sample_45,*Cc1cc2ccccc2oc1=N
sample_46,*Cc1ccc(O)c([N+](=O)[O-])c1
sample_47,*NCC(C)C
sample_48,*C1Nc2ccc(C)cc2C1c1ccccc1
sample_49,*C(O)C(C)O
sample_50,*C1CCC2C3CC=C4CC(Cl)CCC4(C)C3CCC12C
sample_51,*C(C)CN1C(=O)c2cccnc2Nc2ccccc21
sample_52,*C(=O)CCCCC
sample_53,*C1CCC2C3CC(=O)C4(O)CC(=O)CCC4(C)C3CCC12C
sample_54,*Nc1ccc(Br)cc1
sample_55,*CC(=NO)c1ccc2ccccc2c1
sample_56,*CC(=O)[O-]
sample_57,*c1c(O)c(O)c2c(c1O)C(=O)C(O)=C1C(C)(C)CCCC12C
sample_58,*Nc1cc(C)on1
sample_59,*CCCO
sample_60,*c1cc(C)cc([N+](=O)[O-])c1O
sample_61,*C(=O)C1CC(c2ccccc2)c2ccccc21
sample_62,*Cc1ccc(F)cc1
sample_63,*C(=O)C1=NC=NC1
sample_64,*Cc1coc2ccc(Cl)cc2c1=O
sample_65,*c1cc(O)nc2c(Br)cc(Br)cc12
sample_66,*n1c(=O)c2c(c3ccccc31)Sc1ccccc1N=C2C
sample_67,*c1ccc(C)o1
sample_68,*c1cn(C)c(=O)n(C)c1=O
sample_69,*c1nc(C)cc(C)n1
sample_70,*Nc1c(C)cc(C)cc1C
sample_71,*c1ccc(N2N=N2)cc1
sample_72,*c1c(C)cc(O)nc1O
sample_73,*Cc1ccccc1C=NNc1ccccc1
sample_74,*C1NC(=O)NC(C)=C1C(C)=O
sample_75,*Cc1c(C)cc(C)cc1C
